znak;znakRank;komb;je OK;ni OK
E3E0;100;0041+0325+0301;;X
E3E1;1;0100+0300;;X
E3E1;100;0041+0304+0300;;x
E3E2;1;0100+0301;;X
E3E2;100;0041+0304+0301;;X
E3E3;1;00C4+0300;;X
E3E3;100;0041+0308+0300;;x
E3E4;1;00C4+0301;;X
E3E4;100;0041+0308+0301;;x
E3E5;1;1E00+0311;;X
E3E5;100;0041+0325+0311;;X
E3E6;1;0041+0364;;x
E3E7;1;0041+032D;;X
E3E8;1;00C5+0300;;x
E3E8;100;0041+030A+0300;;X
E3E9;1;0041+030E;;X
E3EA;1;00C4+0324;;x
E3EA;100;0041+0324+0308;;x
E3EB;1;0041+0365;X;
E3EC;1;0041+0366;;x
E3ED;1;0041+036E;;X
E3EE;1;00C4+0302;;X
E3EE;100;0041+0308+0302;;x
E3EF;1;00C4+030C;;X
E3EF;100;0041+0308+030C;;X
E3F0;1;0041+030D;;x
E3F1;1;1EA0+0304;;X
E3F1;100;0041+0323+0304;;x
E3F2;1;0104+0301;X;
E3F2;100;0041+0328+0301;;X
E3F3;1;0041+030B;;x
E3F4;1;1EA0+0303;;x
E3F4;100;0041+0323+0303;;x
E3F5;1;0100+0303;;X
E3F5;100;0041+0304+0303;;x
E3F6;1;1EA0+0300;;x
E3F6;100;0041+0323+0300;;X
E3F7;1;1EA0+0301;;X
E3F7;100;0041+0323+0301;X;
E3F8;1;00C6+030F;;X
E3F9;1;00C6+0323;X;
E3FA;1;00C6+030B;;X
E3FB;1;00C6+0311;;x
E3FC;1;00C6+0303;;x
E3FD;1;00C6+030C;;X
E3FE;1;1EA0+0311;;X
E3FE;100;0041+0323+0311;;X
E3FF;1;1E00+030F;;X
E3FF;100;0041+0325+030F;;X
E400;1;1EB9+0300;x;
E400;100;0065+0323+0300;X;
E401;1;1EB9+032D+0300;;X
E401;100;0065+0323+032D+0300;;X
E402;1;00E8+0324;X;
E402;100;0065+0324+0300;;X
E403;1;00E8+0325;X;
E403;100;0065+0325+0300;;x
E404;1;0119+0300;X;
E404;100;0065+0328+0300;X;
E405;1;1E19+0300;x;
E405;100;0065+032D+0300;x;
E406;1;00E8+0339;;x
E406;100;0065+0339+0300;;x
E407;1;1EB9+0301;X;
E407;100;0065+0323+0301;X;
E408;1;1EB9+032D+0301;;X
E408;100;0065+0323+032D+0301;;X
E409;1;00E9+0324;X;
E409;100;0065+0324+0301;X;
E40A;1;00E9+0325;X;
E40A;100;0065+0325+0301;X;
E40B;1;0119+0301;X;
E40B;100;0065+0328+0301;;X
E40C;1;1E19+0301;X;
E40C;100;0065+032D+0301;;x
E40D;1;00E9+0339;x;
E40D;100;0065+0339+0301;X;
E40E;1;0119+0339+0301;;X
E40E;100;0065+0328+0339+0301;X;
E40F;1;00EA+0304;;x
E40F;100;0065+0302+0304;;X
E410;1;00EA+0306;;X
E410;100;0065+0302+0306;;X
E411;1;00EA+0311;;X
E411;100;0065+0302+0311;;x
E412;1;0119+0302;X;
E412;100;0065+0328+0302;X;
E413;1;00EA+0339;X;
E413;100;0065+0339+0302;x;
E414;1;1EBD+0300;;X
E414;100;0065+0303+0300;;X
E415;1;1EBD+0301;;x
E415;100;0065+0303+0301;;x
E416;1;1EB9+0303;X;
E416;100;0065+0323+0303;;x
E417;1;0229+0303;X;
E417;100;0065+0327+0303;x;
E418;1;0119+0303;X;
E418;100;0065+0328+0303;X;
E419;1;1EBD+0339;X;
E419;100;0065+0339+0303;X;
E41A;1;1E15+0339;x;
E41A;100;0065+0339+0304+0300;;X
E41B;1;1EB9+0304+0301;;X
E41B;100;0065+0323+0304+0301;;X
E41C;1;1E17+0339;X;
E41C;100;0065+0339+0304+0301;;X
E41D;1;0113+0306;;X
E41D;100;0065+0304+0306;;X
E41E;1;1EB9+0304;X;
E41E;100;0065+0323+0304;X;
E41F;1;0113+0325;X;
E41F;100;0065+0325+0304;X;
E420;1;0119+0304;X;
E420;100;0065+0328+0304;X;
E421;1;1E19+0304;;
E421;100;0065+032D+0304;x;
E422;1;0113+0339;X;
E422;100;0065+0339+0304;X;
E423;1;1EB9+0306;X;
E423;100;0065+0323+0306;X;
E424;1;0119+0306;X;
E424;100;0065+0328+0306;X;
E425;1;0117+0300;;X
E425;100;0065+0307+0300;;X
E426;1;0117+0301;;x
E426;100;0065+0307+0301;;X
E427;1;0117+0303;;X
E427;100;0065+0307+0303;;x
E428;1;0117+0304;;x
E428;100;0065+0307+0304;;X
E429;1;0117+030F;;X
E429;100;0065+0307+030F;;x
E42A;1;0065+0352;x;
E42B;1;1EB9+0307;;x
E42B;100;0065+0323+0307;X;
E42C;1;0117+0325;x;
E42C;100;0065+0325+0307;x;
E42D;1;0119+0307;X;
E42D;100;0065+0328+0307;X;
E42E;1;00EB+0300;;X
E42E;100;0065+0308+0300;;X
E42F;1;00EB+0301;;X
E42F;100;0065+0308+0301;;X
E430;1;00EB+0304+0301;;x
E430;100;0065+0308+0304+0301;;X
E431;1;00EB+0306;;x
E431;100;0065+0308+0306;;X
E432;1;00EB+030F;;x
E432;100;0065+0308+030F;;x
E433;1;00EB+0311;;x
E433;100;0065+0308+0311;;X
E434;1;0119+030B;X;
E434;100;0065+0328+030B;x;
E435;1;011B+0300;;X
E435;100;0065+030C+0300;;X
E436;1;011B+0301;X;
E436;100;0065+030C+0301;;x
E437;1;011B+0304;;x
E437;100;0065+030C+0304;;X
E438;1;011B+0304+0301;;x
E438;100;0065+030C+0304+0301;;X
E439;1;011B+0306;;x
E439;100;0065+030C+0306;;x
E43A;1;011B+030B;;X
E43A;100;0065+030C+030B;;X
E43B;1;011B+030D;;X
E43B;100;0065+030C+030D;X;
E43C;1;011B+030F;;X
E43C;100;0065+030C+030F;;x
E43D;1;011B+0311;;x
E43D;100;0065+030C+0311;;X
E43E;1;0065+030D;X;
E43F;1;1EB9+030D;X;
E43F;100;0065+0323+030D;X;
E440;1;0119+030D;x;
E440;100;0065+0328+030D;;
E441;1;0205+0316;X;
E441;100;0065+0316+030F;X;
E442;1;1EB9+030F;X;
E442;100;0065+0323+030F;X;
E443;1;0205+0324;x;
E443;100;0065+0324+030F;X;
E444;1;0205+0325;x;
E444;100;0065+0325+030F;X;
E445;1;0119+030F;X;
E445;100;0065+0328+030F;;X
E446;1;1E19+030F;X;
E446;100;0065+032D+030F;X;
E447;1;0205+032F;X;
E447;100;0065+032F+030F;;x
E448;1;0205+0339;X;
E448;100;0065+0339+030F;X;
E449;1;0207+0339+030F;;x
E449;100;0065+0339+0311+030F;;x
E44A;1;0207+0316;X;
E44A;100;0065+0316+0311;X;
E44B;1;1EB9+0311;X;
E44B;100;0065+0323+0311;X;
E44C;1;0119+0323+0311;;X
E44C;100;0065+0328+0323+0311;;X
E44D;1;0207+0324;x;
E44D;100;0065+0324+0311;X;
E44E;1;0229+0311;x;
E44E;100;0065+0327+0311;X;
E44F;1;0119+0311;X;
E44F;100;0065+0328+0311;X;
E450;1;1E19+0311;;x
E450;100;0065+032D+0311;X;
E451;1;0207+032F;x;
E451;100;0065+032F+0311;X;
E452;1;0207+0339;X;
E452;100;0065+0339+0311;X;
E45A;1;0065+20D6;x;
E45B;1;0119+0323;;X
E45B;100;0065+0328+0323;;X
E45C;1;1EB9+032D;;X
E45C;100;0065+0323+032D;;X
E45D;1;0065+0324;X;
E45E;1;0065+0325;x;
E45F;1;0065+032C;X;
E460;1;0065+032F;x;
E461;1;0065+0331;X;
E462;1;0065+0339;X;
E463;1;0119+0339;;X
E463;100;0065+0328+0339;;x
E465;1;0119+0308;x;
